name,slug,description,category,client_side_only,effort,utility,alternatives,reach,priority_balanced
Pop-out Windows,popout,Float any tool in an always-on-top Document PiP window,Platform,Yes,B+,A-,A+,B+,3.74
DMARC Report Viewer,dmarc,Drop the zipped XML report and see who is sending as your domain,Network,Yes,B,A-,A+,A,3.73
Command Palette,palette,Ctrl+K fuzzy search across every tool on the site,Platform,Yes,B+,A+,B+,A,3.72
Terminal QR,qr-terminal,curl endpoint that prints a scannable code as unicode blocks,QR,Worker,A,B+,A-,A,3.66
curl API,api,Stateless HTTP endpoints for the simple generators,Platform,Worker,B+,A-,A-,A,3.63
Redaction Tool,redact,Destroys the underlying pixels instead of drawing a box over them,Capture,Yes,B+,A-,A-,A-,3.6
Discord Compressor,discord-compressor,Two-pass encode that lands exactly under the 10/50/500MB upload caps,Media,Yes,B,A,A-,B+,3.59
Invisible Characters,invisibles,"Reveal zero-width chars, BOMs, nbsp and stray line endings",Text,Yes,A-,B+,A-,A,3.59
OAuth Scope Decoder,oauth-scopes,Turn a scope list into plain-English access and a risk read,Crypto,Yes,A-,B+,A-,A,3.59
Decode Anything,decode,"Recursively unwrap base64, gzip, JSON, JWTs, snowflakes and more",Dev,Yes,C+,A+,A-,A,3.59
Mojibake Fixer,mojibake,Repair double-encoded UTF-8 text back to what it should say,Text,Yes,B+,B+,A,A,3.58
Email Header Analyzer,email-headers,"SPF, DKIM and DMARC verdicts plus a hop-by-hop delay waterfall",Network,Yes,B,A-,A-,A,3.56
Epoch Converter,epoch,Unix timestamps to and from human dates in any zone,Time,Yes,A+,A,C+,A,3.56
Clipboard Pipelines,clip-pipes,"Saved chains of text transforms, applied on paste",Files,Yes,B+,B+,A,A-,3.55
Clipboard Inspector,clipboard,Every MIME type currently sitting on your clipboard,Files,Yes,A-,B,A,A-,3.54
A/V Converter,av-converter,Convert between video and audio formats locally via ffmpeg.wasm,Media,Yes,B+,A,B+,B,3.51
Character Counter,count,"Grapheme-accurate character, word and LLM token counts",Text,Yes,B+,A-,B+,A,3.51
Unit Calculator,calc,Numbat-powered maths that understands units and currencies,Dev,Yes,B+,A-,B+,A,3.51
WASM Inspector,wasm,"Sections, imports, exports and which post-MVP features a module needs",Dev,Yes,B,B+,A,A,3.5
Hash & Checksum,hash,Hash text or files and verify against a known-good value,Crypto,Yes,A,A,C+,A,3.49
SMART Decoder,smart,"Paste smartctl output, get a plain-English drive health verdict",Homelab,Yes,B+,B+,A-,A,3.49
Composable Pipelines,pipelines,Chain tools together and share the whole chain as a URL,Platform,Yes,D+,A+,A+,A-,3.49
Battery Life Estimator,battery-life,"Model runtime from capacity, sleep draw and active draw",Hardware,Yes,A-,B,A-,A,3.48
Screen Recorder,screen-recorder,"Record screen or window locally — no account, no watermark",Capture,Yes,B,A,B+,B+,3.47
TOTP Generator,totp,"Live 2FA codes from a secret, for testing and recovery",Crypto,Yes,A-,B+,B+,A,3.47
SQLite Browser,sqlite,Drop a .db file and query it locally with sql.js,Data,Yes,C+,A,A-,A-,3.46
URLPattern Tester,urlpattern,Test route patterns against URLs and inspect match groups,Dev,Yes,A-,B,A-,A-,3.46
Transcriber,transcribe,"Whisper speech-to-text with timestamps, nothing uploaded",Local AI,Yes,C+,A+,A-,C+,3.42
QR Decoder,qr-decode,"Decode from image or camera, with payload type detection",QR,Yes,A,B+,B,A-,3.42
Data Format Converter,data-convert,"CSV, JSON, YAML and TOML in any direction",Data,Yes,A-,A,C+,A,3.42
Temporal Playground,temporal,Date maths and DST edge cases using the Temporal API,Time,Yes,B+,B+,A-,B+,3.42
